구군명,시설명,시설장,소 재 지,정원,전화번호,설치일자,운영자 구분,운영자,X좌표,Y좌표
부산광역시 중구,중구장애인주간보호센터,신인미,부산광역시 중구 망양로 309(대청동),10,051-464-3137,2003-07-19,사회복지법인,로사리오 카리타스,129.0282438,35.10578162
부산광역시 서구,서구장애인주간보호센터,배희선,부산광역시 서구 망양로 193번길 104 (동대신동 1가),15,051-253-1986,2002-11-29,사회복지법인,로사리오 카리타스,129.0263591,35.11117899
부산광역시 동구,동구장애인주간보호센터,정득보,부산광역시 동구 안창로 57(범일동),12,051-633-3367,2003-05-10,사회복지법인,보현도량,129.0424303,35.14562834
부산광역시 동구,큰빛장애인주간보호센터,유지연,부산광역시 동구 초량중로 27(초량동),10,051-464-3909,2004-10-05,사회복지법인,큰빛,129.0368886,35.11453261
부산광역시 동구,동백복지주간보호센터,김기태,부산광역시 동구 중앙대로236번길 13-5 (초량동),20,051-466-7706,2008-04-23,사회복지법인,동백,129.0429443,35.11798704
부산광역시 동구,부산시각장애인주간보호센터,김광호,부산광역시 동구 중앙대로 320번길 4,12,051-462-3292,2008-04-27,사단법인,한국시각장애인연합회,129.0453883,35.12466335
부산광역시 동구,행복한장애인주간보호센터,이재영,부산광역시 동구 망양로 748(수정동),12,051-466-0039,2011-08-26,사회복지법인,행복한오늘,129.0404211,35.13091679
부산광역시 동구,동림장애인주간보호센터,최유진,부산광역시 동구 중앙대로 509-1(범일동),20,051-469-1255,2013-10-15,개인,김영태,129.0562131,35.13877539
부산광역시 영도구,어울림장애인주간보호센터,서보경,부산광역시 영도구 함지로 79번길 76(동삼동),12,051-403-4200,2000-08-02,사회복지법인,남광사회복지회,129.0655229,35.07600143
부산광역시 영도구,해냄장애인주간보호센터,선병권,부산광역시 영도구 산정길 138(신선동 3가),15,051-413-4661,2003-05-20,사회복지법인,호산사회복지회,129.0475086,35.08121547
부산광역시 영도구,상리장애인주간보호센터,김영신,부산광역시 영도구 상리로 41(동삼동),16,051-404-5061,2003-03-17,사회복지법인,한국재활재단,129.0688930,35.08468831
