소속,학교급,설립,학교명,자치구,교육대상,남녀공학구분,개교일자,우편번호,주소,전화번호,팩스번호,홈페이지
본청,특수학교,공립,부산맹학교,동래구,시각장애학교,남여공학,19550919,47750,"부산광역시 동래구 충렬사로67번길 56 , 부산맹학교 (명장동)",051-523-0057,051-529-3392,http://www.busanmaeng.sc.kr
본청,특수학교,공립,부산배화학교,수영구,청각장애학교,남여공학,19550919,48237,"부산광역시 수영구 연수로310번길 73 , 부산배화학교 (망미동)",051-760-2500,051-757-8548,http://baehwa.sc.kr
본청,특수학교,공립,부산솔빛학교,사상구,지적장애학교,남여공학,20030901,46908,"부산광역시 사상구 삼덕로5번길 171 (삼락동,부산솔빛학교)",051-319-9073,051-305-4592,http://www.solvit.sc.kr
본청,특수학교,공립,부산한솔학교,강서구,지적장애학교,남여공학,20130301,46765,"부산광역시 강서구 명지오션시티2로 86 , 부산한솔학교 (명지동)",051-260-2807,051-271-6226,http://hansol.sc.kr
본청,특수학교,공립,부산해마루학교,기장군,지적장애학교,남여공학,20130301,46005,부산광역시 기장군 정관읍 모전로 23 (정관읍),051-720-0001,051-728-7452,http://haemaru.sc.kr
본청,특수학교,공립,부산혜남학교,남구,지체장애학교,남여공학,19890125,48449,부산광역시 남구 진남로166번길 10-19 (대연동),051-640-2600,051-637-6059,http://hyenam.sc.kr
본청,특수학교,공립,부산혜성학교,남구,지적장애학교,남여공학,19740115,48449,"부산광역시 남구 진남로166번길 10-9 , 부산혜성학교 (대연동)",051-640-6706,051-637-6221,http://hyeseong-s.sc.kr
본청,특수학교,공립,부산혜송학교,서구,지적장애학교,남여공학,20000301,49263,부산광역시 서구 천마로50번길 1 (남부민동),051-600-6700,051-600-6789,http://www.hyesong-s.sc.kr
본청,특수학교,사립,부산구화학교,남구,지적장애학교,남여공학,19700501,48455,"부산광역시 남구 수영로123번길 54 , 부산구화학교 (대연동)",051-646-5700,051-646-9110,http://www.pskuhaw.sc.kr
본청,특수학교,사립,부산동암학교,연제구,지적장애학교,남여공학,19800514,47584,"부산광역시 연제구 톳고개로 50 , 부산동암학교 (연산동)",051-758-1714,051-758-1716,http://www.dongam.sc.kr
본청,특수학교,사립,부산두레학교,연제구,지적장애학교,남여공학,20040301,47555,"부산광역시 연제구 고분로123번길 13-7 (연산동,부산두레학교)",051-868-6118,051-867-0957,http://doorhe.com
본청,특수학교,사립,부산성우학교,기장군,지적장애학교,남여공학,20080304,46030,부산광역시 기장군 장안읍 대룡2길 45 (장안읍),051-727-0025,051-727-0845,http://sungwoo.sc.kr
본청,특수학교,사립,부산은애학교,금정구,지적장애학교,남여공학,19980302,46201,부산광역시 금정구 청룡예전로 107 (청룡동),051-508-0606,051-508-5544,http://eunae.sc.kr/
본청,특수학교,사립,부산천사의학교,사하구,지적장애학교,남여공학,20010301,49360,부산광역시 사하구 오작로88번길 30 (괴정동),051-208-9497,051-206-0026,http://www.cheonsa.sc.kr
본청,특수학교,사립,부산혜원학교,강서구,지적장애학교,남여공학,19720701,46702,"부산광역시 강서구 공항로 1319 , 부산혜원학교 (대저1동)",051-796-6400,051-796-6444,http://hyewon-s.sc.kr
